epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.793533,,,,,,,start
1,train,0.738930,,,,,,,
2,train,0.596930,,,,,,,
3,train,0.630491,,,,,,,
4,train,0.511897,,,,,,,
5,train,0.494964,,,,,,,
6,train,0.523888,,,,,,,
7,train,0.569383,,,,,,,
8,train,0.426437,,,,,,,
9,train,0.497748,,,,,,,
10,train,0.579831,,,,,,,
11,train,0.305892,,,,,,,
12,train,0.377149,,,,,,,
13,train,0.387708,,,,,,,
14,train,0.479265,,,,,,,
15,train,0.374413,,,,,,,
16,train,0.396424,,,,,,,
17,train,0.468428,,,,,,,
18,train,0.416010,,,,,,,
19,train,0.347810,,,,,,,
19,eval,,0.9997,0.0001,0.0000,0.0001,0.0001,0.7997,
20,train,0.417412,,,,,,,
21,train,0.449683,,,,,,,
22,train,0.354185,,,,,,,
23,train,0.423023,,,,,,,
24,train,0.344658,,,,,,,
25,train,0.512199,,,,,,,
26,train,0.482902,,,,,,,
27,train,0.431361,,,,,,,
28,train,0.389848,,,,,,,
29,train,0.385803,,,,,,,
30,train,0.429595,,,,,,,
31,train,0.436528,,,,,,,
32,train,0.432391,,,,,,,
33,train,0.379205,,,,,,,
34,train,0.344933,,,,,,,
35,train,0.383950,,,,,,,
36,train,0.382546,,,,,,,
37,train,0.351371,,,,,,,
38,train,0.565940,,,,,,,
39,train,0.516081,,,,,,,
39,eval,,0.9999,0.0001,0.0000,0.0000,0.0000,0.7999,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0_stability_seed2/epoch_40.pt
40,train,0.368757,,,,,,,
41,train,0.494680,,,,,,,
42,train,0.562420,,,,,,,
43,train,0.363577,,,,,,,
44,train,0.434601,,,,,,,
45,train,0.355652,,,,,,,
46,train,0.380887,,,,,,,
47,train,0.483110,,,,,,,
48,train,0.314754,,,,,,,
49,train,0.506617,,,,,,,
50,train,0.611486,,,,,,,
51,train,0.501898,,,,,,,
52,train,0.526090,,,,,,,
53,train,0.410208,,,,,,,
54,train,0.613315,,,,,,,
55,train,0.360427,,,,,,,
56,train,0.350885,,,,,,,
57,train,0.456855,,,,,,,
58,train,0.585435,,,,,,,
59,train,0.454894,,,,,,,
59,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
60,train,0.531471,,,,,,,
61,train,0.479137,,,,,,,
62,train,0.432460,,,,,,,
63,train,0.365874,,,,,,,
64,train,0.324109,,,,,,,
65,train,0.378572,,,,,,,
66,train,0.485984,,,,,,,
67,train,0.416107,,,,,,,
68,train,0.451055,,,,,,,
69,train,0.364009,,,,,,,
70,train,0.423114,,,,,,,
71,train,0.437768,,,,,,,
72,train,0.445319,,,,,,,
73,train,0.470106,,,,,,,
74,train,0.466472,,,,,,,
75,train,0.414407,,,,,,,
76,train,0.359336,,,,,,,
77,train,0.444461,,,,,,,
78,train,0.460355,,,,,,,
79,train,0.362497,,,,,,,
79,eval,,0.9999,0.0000,0.0000,0.0000,0.0001,0.7999,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0_stability_seed2/epoch_80.pt
80,train,0.387788,,,,,,,
81,train,0.535819,,,,,,,
82,train,0.405000,,,,,,,
83,train,0.404768,,,,,,,
84,train,0.432967,,,,,,,
85,train,0.427316,,,,,,,
86,train,0.452958,,,,,,,
87,train,0.434214,,,,,,,
88,train,0.448927,,,,,,,
89,train,0.460631,,,,,,,
90,train,0.375224,,,,,,,
91,train,0.339171,,,,,,,
92,train,0.337651,,,,,,,
93,train,0.402492,,,,,,,
94,train,0.335613,,,,,,,
95,train,0.349382,,,,,,,
96,train,0.457544,,,,,,,
97,train,0.390168,,,,,,,
98,train,0.467819,,,,,,,
99,train,0.354049,,,,,,,
99,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
100,train,0.403466,,,,,,,
101,train,0.349439,,,,,,,
102,train,0.349321,,,,,,,
103,train,0.371626,,,,,,,
104,train,0.361849,,,,,,,
105,train,0.298110,,,,,,,
106,train,0.263284,,,,,,,
107,train,0.364728,,,,,,,
108,train,0.338227,,,,,,,
109,train,0.316627,,,,,,,
110,train,0.341134,,,,,,,
111,train,0.329691,,,,,,,
112,train,0.393059,,,,,,,
113,train,0.265758,,,,,,,
114,train,0.329188,,,,,,,
115,train,0.571817,,,,,,,
116,train,0.281971,,,,,,,
117,train,0.368457,,,,,,,
118,train,0.456669,,,,,,,
119,train,0.362933,,,,,,,
119,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0_stability_seed2/epoch_120.pt
120,train,0.317529,,,,,,,
121,train,0.527702,,,,,,,
122,train,0.370516,,,,,,,
123,train,0.335798,,,,,,,
124,train,0.433982,,,,,,,
125,train,0.302532,,,,,,,
126,train,0.272763,,,,,,,
127,train,0.285626,,,,,,,
128,train,0.319902,,,,,,,
129,train,0.372854,,,,,,,
130,train,0.308153,,,,,,,
131,train,0.322519,,,,,,,
132,train,0.389273,,,,,,,
133,train,0.381668,,,,,,,
134,train,0.263884,,,,,,,
135,train,0.330476,,,,,,,
136,train,0.344129,,,,,,,
137,train,0.405031,,,,,,,
138,train,0.408401,,,,,,,
139,train,0.355423,,,,,,,
139,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
140,train,0.336002,,,,,,,
141,train,0.342640,,,,,,,
142,train,0.393395,,,,,,,
143,train,0.321736,,,,,,,
144,train,0.473078,,,,,,,
145,train,0.287278,,,,,,,
146,train,0.321744,,,,,,,
147,train,0.402839,,,,,,,
148,train,0.326966,,,,,,,
149,train,0.291351,,,,,,,
150,train,0.393347,,,,,,,
151,train,0.366064,,,,,,,
152,train,0.427606,,,,,,,
153,train,0.378765,,,,,,,
154,train,0.329859,,,,,,,
155,train,0.417750,,,,,,,
156,train,0.308186,,,,,,,
157,train,0.313102,,,,,,,
158,train,0.325434,,,,,,,
159,train,0.299171,,,,,,,
159,eval,,1.0000,0.0000,0.0000,0.0000,0.0000,0.8000,
159,checkpoint,,,,,,,,saved result/checkpoints/goal1_asbs_c5_S0_stability_seed2/epoch_160.pt
160,train,0.442089,,,,,,,
161,train,0.404588,,,,,,,
162,train,0.404505,,,,,,,
163,train,0.302692,,,,,,,
164,train,0.456147,,,,,,,
165,train,0.407433,,,,,,,
166,train,0.240089,,,,,,,
167,train,0.261080,,,,,,,
168,train,0.322926,,,,,,,
169,train,0.395760,,,,,,,
170,train,0.378197,,,,,,,
