epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.335665,,,,,,,start
1,train,0.436985,,,,,,,
2,train,0.455703,,,,,,,
3,train,0.389654,,,,,,,
4,train,0.404210,,,,,,,
5,train,0.425328,,,,,,,
6,train,0.435373,,,,,,,
7,train,0.369909,,,,,,,
8,train,0.427882,,,,,,,
9,train,0.371215,,,,,,,
10,train,0.574079,,,,,,,
11,train,0.426771,,,,,,,
12,train,0.401838,,,,,,,
13,train,0.403345,,,,,,,
14,train,0.582241,,,,,,,
15,train,0.495976,,,,,,,
16,train,0.413276,,,,,,,
17,train,0.337537,,,,,,,
18,train,0.350800,,,,,,,
19,train,0.325196,,,,,,,
19,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7418,
20,train,0.379966,,,,,,,
21,train,0.341873,,,,,,,
22,train,0.291031,,,,,,,
23,train,0.314410,,,,,,,
24,train,0.420912,,,,,,,
25,train,0.371062,,,,,,,
26,train,0.428490,,,,,,,
27,train,0.385929,,,,,,,
28,train,0.383252,,,,,,,
29,train,0.279349,,,,,,,
30,train,0.359598,,,,,,,
31,train,0.493222,,,,,,,
32,train,0.395943,,,,,,,
33,train,0.292131,,,,,,,
34,train,0.427355,,,,,,,
35,train,0.390094,,,,,,,
36,train,0.379552,,,,,,,
37,train,0.307028,,,,,,,
38,train,0.372695,,,,,,,
39,train,0.403394,,,,,,,
39,eval,,0.0000,1.0000,0.0000,0.0000,0.0000,0.7419,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S1_stability_seed0/epoch_40.pt
40,train,0.446453,,,,,,,
41,train,0.354141,,,,,,,
42,train,0.350222,,,,,,,
43,train,0.380661,,,,,,,
44,train,0.593115,,,,,,,
45,train,0.483871,,,,,,,
46,train,0.465434,,,,,,,
47,train,0.334056,,,,,,,
48,train,0.369461,,,,,,,
49,train,0.427151,,,,,,,
50,train,0.356273,,,,,,,
51,train,0.318087,,,,,,,
52,train,0.420599,,,,,,,
53,train,0.433525,,,,,,,
54,train,0.383639,,,,,,,
55,train,0.360234,,,,,,,
56,train,0.345914,,,,,,,
57,train,0.353295,,,,,,,
58,train,0.350590,,,,,,,
59,train,0.351481,,,,,,,
59,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7418,
60,train,0.450731,,,,,,,
61,train,0.367737,,,,,,,
62,train,0.310055,,,,,,,
63,train,0.375181,,,,,,,
64,train,0.377413,,,,,,,
65,train,0.359207,,,,,,,
66,train,0.357631,,,,,,,
67,train,0.342573,,,,,,,
68,train,0.426844,,,,,,,
69,train,0.333776,,,,,,,
70,train,0.368232,,,,,,,
71,train,0.422149,,,,,,,
72,train,0.323103,,,,,,,
73,train,0.454523,,,,,,,
74,train,0.295153,,,,,,,
75,train,0.427724,,,,,,,
76,train,0.294262,,,,,,,
77,train,0.420978,,,,,,,
78,train,0.376733,,,,,,,
79,train,0.485678,,,,,,,
79,eval,,0.0001,0.9999,0.0000,0.0000,0.0000,0.7418,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_w5_S1_stability_seed0/epoch_80.pt
80,train,0.383302,,,,,,,
81,train,0.345194,,,,,,,
82,train,0.345967,,,,,,,
83,train,0.406755,,,,,,,
84,train,0.477897,,,,,,,
