epoch,event_type,loss,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,mwd,notes
0,train,0.578542,,,,,,,start
1,train,0.631778,,,,,,,
2,train,0.485893,,,,,,,
3,train,0.547234,,,,,,,
4,train,0.442692,,,,,,,
5,train,0.629971,,,,,,,
6,train,1.257153,,,,,,,
7,train,0.775800,,,,,,,
8,train,1.233803,,,,,,,
9,train,1.015573,,,,,,,
10,train,0.704455,,,,,,,
11,train,0.857677,,,,,,,
12,train,0.540673,,,,,,,
13,train,0.500037,,,,,,,
14,train,0.527175,,,,,,,
15,train,0.697442,,,,,,,
16,train,0.459160,,,,,,,
17,train,0.495247,,,,,,,
18,train,0.407939,,,,,,,
19,train,0.414791,,,,,,,
19,eval,,0.0005,0.0031,0.0002,0.9962,0.0000,0.7962,
20,train,0.900894,,,,,,,
21,train,0.480704,,,,,,,
22,train,0.767953,,,,,,,
23,train,0.828906,,,,,,,
24,train,0.900405,,,,,,,
25,train,0.404974,,,,,,,
26,train,0.821479,,,,,,,
27,train,0.972982,,,,,,,
28,train,0.698120,,,,,,,
29,train,0.518244,,,,,,,
30,train,0.440951,,,,,,,
31,train,0.581707,,,,,,,
32,train,0.785718,,,,,,,
33,train,0.632416,,,,,,,
34,train,0.583430,,,,,,,
35,train,0.451110,,,,,,,
36,train,0.550802,,,,,,,
37,train,0.663554,,,,,,,
38,train,1.062421,,,,,,,
39,train,0.560751,,,,,,,
39,eval,,0.0010,0.0039,0.0005,0.9946,0.0000,0.7946,
39,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S3_stability_seed3/epoch_40.pt
40,train,1.038697,,,,,,,
41,train,1.354301,,,,,,,
42,train,0.678717,,,,,,,
43,train,0.511486,,,,,,,
44,train,0.637215,,,,,,,
45,train,0.492749,,,,,,,
46,train,0.740173,,,,,,,
47,train,0.650312,,,,,,,
48,train,0.592349,,,,,,,
49,train,0.555783,,,,,,,
50,train,0.492961,,,,,,,
51,train,0.947037,,,,,,,
52,train,0.620193,,,,,,,
53,train,0.839916,,,,,,,
54,train,0.605700,,,,,,,
55,train,0.645600,,,,,,,
56,train,0.711363,,,,,,,
57,train,0.978753,,,,,,,
58,train,0.563516,,,,,,,
59,train,0.322706,,,,,,,
59,eval,,0.0004,0.0045,0.0002,0.9949,0.0000,0.7949,
60,train,0.425812,,,,,,,
61,train,0.796037,,,,,,,
62,train,0.660055,,,,,,,
63,train,0.776982,,,,,,,
64,train,0.454491,,,,,,,
65,train,0.936046,,,,,,,
66,train,0.438904,,,,,,,
67,train,0.869904,,,,,,,
68,train,0.754263,,,,,,,
69,train,0.495234,,,,,,,
70,train,0.666202,,,,,,,
71,train,0.660321,,,,,,,
72,train,0.669631,,,,,,,
73,train,0.630203,,,,,,,
74,train,0.461219,,,,,,,
75,train,0.519278,,,,,,,
76,train,0.400492,,,,,,,
77,train,0.633089,,,,,,,
78,train,0.612336,,,,,,,
79,train,0.611342,,,,,,,
79,eval,,0.0003,0.0021,0.0003,0.9973,0.0000,0.7973,
79,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S3_stability_seed3/epoch_80.pt
80,train,0.401580,,,,,,,
81,train,0.438885,,,,,,,
82,train,0.321134,,,,,,,
83,train,0.512673,,,,,,,
84,train,0.430662,,,,,,,
85,train,0.859838,,,,,,,
86,train,0.442975,,,,,,,
87,train,1.200678,,,,,,,
88,train,0.789603,,,,,,,
89,train,0.711290,,,,,,,
90,train,0.467030,,,,,,,
91,train,0.649429,,,,,,,
92,train,0.620945,,,,,,,
93,train,1.113673,,,,,,,
94,train,1.151730,,,,,,,
95,train,0.911937,,,,,,,
96,train,0.980649,,,,,,,
97,train,0.917332,,,,,,,
98,train,0.515728,,,,,,,
99,train,1.199518,,,,,,,
99,eval,,0.0009,0.0081,0.0016,0.9894,0.0000,0.7894,
100,train,1.170130,,,,,,,
101,train,0.745307,,,,,,,
102,train,1.058113,,,,,,,
103,train,1.088427,,,,,,,
104,train,0.554146,,,,,,,
105,train,1.188501,,,,,,,
106,train,0.692615,,,,,,,
107,train,1.157389,,,,,,,
108,train,1.052614,,,,,,,
109,train,0.537035,,,,,,,
110,train,0.660733,,,,,,,
111,train,0.918935,,,,,,,
112,train,1.268780,,,,,,,
113,train,1.001861,,,,,,,
114,train,1.271688,,,,,,,
115,train,1.088883,,,,,,,
116,train,0.979931,,,,,,,
117,train,0.561124,,,,,,,
118,train,0.818680,,,,,,,
119,train,0.802222,,,,,,,
119,eval,,0.0008,0.0065,0.0022,0.9905,0.0000,0.7905,
119,checkpoint,,,,,,,,saved result/checkpoints/goal1_as_b5_S3_stability_seed3/epoch_120.pt
120,train,1.544703,,,,,,,
121,train,0.738917,,,,,,,
122,train,1.325419,,,,,,,
123,train,1.017897,,,,,,,
124,train,1.330879,,,,,,,
125,train,1.361079,,,,,,,
126,train,1.056782,,,,,,,
127,train,0.931769,,,,,,,
128,train,1.419796,,,,,,,
129,train,1.335373,,,,,,,
130,train,1.145693,,,,,,,
131,train,2.035597,,,,,,,
132,train,2.020769,,,,,,,
133,train,0.842105,,,,,,,
134,train,0.949149,,,,,,,
135,train,1.527999,,,,,,,
136,train,1.131447,,,,,,,
137,train,0.774203,,,,,,,
